headline,short_description,authors,date
"Trump Says Charter To Invest $25 Billion In U.S., Hire 20,000 Workers",Much of the announcement was not new,,2017-03-24
"In The Age Of Laissez Faire Regulation, The Ground Is Shifting Under Consumers. Here's What It Means.","If the recent news from Washington isn’t a little unsettling, maybe you should look again. A new administration has brought","Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2017-03-21
9 Brands That Should Delete Their Account After That Tweet,We all make terrible Twitter mistakes. But these are egregious.,Andy Campbell,2017-03-16
Nike Middle East's Badass New Ad Breaks Barriers And Defies Stereotypes,One of the most empowering things a woman can do for another woman is inspire her to come into herself and take charge of,"Simra Mariam, ContributorAmateur writer with a dream to inspire positivity, creativity ...",2017-03-13
Volkswagen Pleads Guilty In U.S. Court In Diesel Emissions Scandal,"""VW AG is pleading guilty to all three counts because it is guilty on all three counts.”",,2017-03-10
Snap Shares Tumble As Short Sellers Move In,It's ugly.,,2017-03-07
NBCUniversal Invested $500 Million In Snap Inc As Part Of IPO,"“With the Snap investment, we have invested over $1.5 billion in promising digital businesses in the last eighteen months.”",,2017-03-03
"In A 1991 Film, Shell Oil Issued A Stark Warning About Climate Change Risks",And much of it has proved to be true.,Chris D'Angelo,2017-03-01
Restricting Immigration Won’t Make American Industries Great Again,"President Trump’s path to the White House was paved in part by his hardline approach to immigration. For Trump, “Making America","Michael Niren , ContributorPresident and CEO of VisaPlace.com",2017-02-26
PwC and The Huffington Post Ask: What’s Your Purpose? A Red Carpet Event,"We’re just a few days away from the 89th Academy Awards, an evening in which years of hard work culminate in dreams coming",Martha Ruiz and Brian Cullinan,2017-02-24
A Grim Pattern: Presidential Voting And Workplace Deaths,"In states that were carried by Donald Trump, the chances of dying at work are higher than in states that Hillary Clinton won.","Stuart Silverstein, ContributorAssistant Editor, FairWarning",2017-02-23
Uber Taps Eric Holder To Lead Investigation Into Sexual Harassment Claims,A former employee blogged about her experience as an engineer for the company.,Rebecca Shapiro,2017-02-21
Work Like Obama: Management Secrets From The World's Toughest Job,Obama became a master of compartmentalizing his time and focus over the course of his presidency.,"Ryan Coonerty, ContributorSanta Cruz County Supervisor and Author",2017-02-20
This Is The First 10 Years Of Your Career,You push the glass doors open for the first time. It's a beautiful office. One that only a huge multinational company like,"Aaron Tang, ContributorFounder of mr-stingy.com. Writer, trainer, engineer.",2017-02-19
Amazon Gets Heat Over Holocaust Denial Books,Company yanks books from countries where they're illegal following investigation.,Mary Papenfuss,2017-02-13
5 Success Practices of Ultra-Effective Business Teams,,"Marty Zwilling, ContributorVeteran Start-up Mentor; Executive",2017-02-12
Exxon Adviser Resigns Over Oil Giant's 'Targeted Attacks' On NGOs,"In the face of public criticism, the oil giant has chosen to shoot the messenger, says Sarah Labowitz, a human rights scholar at NYU.",Chris D'Angelo,2017-02-10
Starbucks Offering Employees Free Legal Advice On Immigration,"The announcement comes shortly after the coffee company's CEO pledged to hire 10,000 refugees.",Lydia O'Connor,2017-02-07
'Bipartisan Beer' And The Telling Tale Of Anheuser-Busch’s Super Bowl Ad,Telling a company’s heroic “heritage story” has become a popular marketing tool.,"Ellen Freudenheim, ContributorFreelance writer, activist",2017-02-05
DON'T PANIC! That Bacon Shortage You Keep Hearing About Isn't Real,"No, America isn't running out of bacon.",Ed Mazza,2017-02-02
"Donald Trump's Muslim Ban Hits Dollar, Slams Stocks",It's the currency's worst start to a year in more than a decade.,,2017-01-31
"Dow Tops Historic 20,000 Mark",Investors are banking on pro-growth policies and tax cuts from the new administration.,,2017-01-25
British American Tobacco Agrees To Buy Rival Reynolds For $49 Billion,The deal will mark the return of BAT to the lucrative and highly regulated U.S. market after a 12-year absence.,"By Paul Sandle, Reuters",2017-01-17
Facebook Back Online For Users Worldwide After Partial Outage,"Happy Friday the 13th, everyone.",Ryan Grenoble,2017-01-13
Volkswagen Confirms $4.3 Billion U.S. Settlement Over Diesel Scandal,The guilty plea is part of the civil and criminal deal as the automaker looks to restore its tarnished brand.,"David Shepardson and Andreas Cremer, Reuters",2017-01-10
How To Take Advantage Of Trending News Stories,,"Catriona Pollard	, ContributorDirector of Australian PR and social media agency, CP Communic...",2017-01-08
Two-Factor Authentication: An Interview with Paul Lanzi of Remediant,,"Phil Simon, ContributorSpeaker, author, professor",2017-01-08
"Jobs Report: Growth Slows, But Wages Rebound Strongly",The participation rate remains near multi-decade lows.,,2017-01-06
"Time To Tax Netflix? Some Cities, And A State, Think So","Imposing taxes on streaming services like Netflix and Spotify angers consumers, but cities need the cash. By Elaine S. Povich","Stateline, ContributorStateline provides daily reporting and analysis on trends in s...",2017-01-03
Former Atheist Mark Zuckerberg Gets Religion,"""I went through a period when I questioned things,"" he posts on Facebook.",Mary Papenfuss,2017-01-01
The Sky's the Limit for Amazon,,"Ira Kalb, ContributorAssistant Professor of Clinical Marketing, Marshall School of ...",2016-12-31
Disrupting Disruption: Lessons For Innovation,,"Young Entrepreneur Council, ContributorInvite-only organization comprised of the world's most promisi...",2016-12-28
What They Won't Tell You About Your 'Free' Credit Report,"If your New Year’s resolution includes a financial tune-up, then you’re probably about to pull your “free” credit report","Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2016-12-26
Boxing Day Survival Guide For People With Bad Credit,,"Jeanne Kelly, ContributorFounder, The Kelly Group Credit Consulting, Inc.",2016-12-26
Joshua Tree: Evading The Jaws Of Los Angeles Greed,"Michael and I moved to Joshua Tree in the late summer, the morning after I tried to kill myself. The city was too expensive","Vita Lusty, ContributorMs. Lusty is a nonfiction writer from Joshua Tree, CA.",2016-12-24
Google To Start Selling 2 New Watches,Android Wear 2.0 refreshes Google's smartwatch offerings.,Michael McLaughlin,2016-12-22
Walmart Ditches 'Bulletproof: Black Lives Matter' T-Shirt After Police Protest,The Fraternal Order of Police has also complained to Amazon.,Mary Papenfuss,2016-12-21
Everything You Ever Wanted To Know About Holiday Gift Returns (But Were Afraid To Ask),Forget the season of giving -- it's the season of returns that could really hurt your bottom line. The hyper-busy gift return,"Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2016-12-19
The Long and the Short of Creating Better Content,,"Ira Kalb, ContributorAssistant Professor of Clinical Marketing, Marshall School of ...",2016-12-18
Self-Driving Uber Blows Through Red Light On First Day In San Francisco,Uber blames it on human error and suspends the driver. State demands tests stop.,Ryan Grenoble,2016-12-15
It Could Happen To You: A Story Of SEC Overreach,I know how it feels to be falsely accused. I know how it feels to be pursued for seven years by an overzealous government,"Lynn Tilton, ContributorFounder and CEO of Patriarch Partners LLC",2016-12-13
Why The Consumer Financial Protection Bureau May Die -- And Why You Should Care,"Since the Consumer Financial Protection Bureau’s creation six years ago, some Republicans in Congress have wanted to kill","Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2016-12-12
"If You Still Have A Samsung Galaxy Note7, It's Time To Say Goodbye",A software update will disable the smartphones later this month.,Ryan Grenoble,2016-12-09
Brooklyn Pizza Restaurant Gets Threats After Video Links It To 'Pizzagate' Hoax,"In one call, a young employee was told: ""You are going to bleed and be tortured.""",Ryan Grenoble,2016-12-07
Why You Should Care About The Backlash Against Holiday Creep,"The term ""holiday creep"" is a punchline for every other story you'll read about shopping. As in, ""They're starting their","Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2016-12-06
7 Things Deeply Intuitive People Do Differently,"Whether you listen to it or not, your intuition is healthy and functioning. If you want to make better decisions in life, you'd do well to brush up on your intuition skills. You can start by emulating some of the habits of highly intuitive people.","Dr. Travis Bradberry, ContributorAuthor of #1 bestselling book, Emotional Intelligence 2.0, and...",2016-12-03
5 Ways To Check References To Avoid Toxic Employees,"Have you ever attempted to check references before hiring, and run into a brick wall with the former employer giving you","Dianna Booher, MA, Speaker Hall of Fame, ContributorCEO, BooherResearch.com Author of Communicate Like A Leader, C...",2016-12-02
6 Leadership Lessons From An Historic Presidential Election,Six Leadership Lessons from an Historic Presidential Election As half the U.S. struggles with feelings of numbness and despair,"Dana Brownlee, ContributorPresident of Professionalism Matters, a corporate training/key...",2016-11-30
He's Grounded! Delta Bans Obnoxious Trump Supporter For Life,CEO says all the passengers on the flight were given refunds.,Carla Herreria,2016-11-29
The Real Reason Everyone Complains About Credit Reporting Agencies,The most complained-about financial institutions aren't banks or credit card companies. They're credit reporting agencies,"Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2016-11-28
The Changing Holiday Shopping Landscape,,"Ira Kalb, ContributorAssistant Professor of Clinical Marketing, Marshall School of ...",2016-11-27
Of Course British Black Friday Is Incredibly Polite,Shoppers are just keeping calm and carrying on.,Lee Moran,2016-11-25
5 Vital Things to Bear in Mind Before You Sell Your Business,,"Vicky Law, ContributorFreelance Writer, Content Marketer, Social Media Junkie",2016-11-25
Hire a Virtual Assistant,,"Jo Hausman, ContributorMotivational Speaker, Best Selling Author, Mom, International ...",2016-11-25
